source,name,predicate_name,cluster_id_real
www.canon-europe.com,af assist beam,auto_focus_beam,100
www.cambuy.com.au,af assist beam,auto_focus_beam,100
www.camerafarm.com.au,af assist beam,auto_focus_beam,100
www.cambuy.com.au,af assist lamp,auto_focus_beam,100
www.ebay.com,af assist lamp,auto_focus_beam,100
www.shopmania.in,af illuminator,auto_focus_beam,100
www.camerafarm.com.au,afassist lamp,auto_focus_beam,100
www.ilgs.net,auto focus af assist beam,auto_focus_beam,100
www.ebay.com,auto focus assist light,auto_focus_beam,100
www.ebay.com,autofocus assist lamp,auto_focus_beam,100
www.cambuy.com.au,af modes,auto_focus_mode,200
www.canon-europe.com,af modes,auto_focus_mode,200
www.ilgs.net,auto focusing af modes,auto_focus_mode,200
www.shopmania.in,autofocus,auto_focus_mode,200
www.cambuy.com.au,focus,auto_focus_mode,200
www.flipkart.com,focus mode,auto_focus_mode,200
www.camerafarm.com.au,focus modes,auto_focus_mode,200
www.cambuy.com.au,focusarea selection,auto_focus_mode,200
www.price-hunt.com,focusing sysetm,auto_focus_mode,200
www.price-hunt.com,focusing sysetm,auto_focus_mode,200
www.alibaba.com,auto focus,auto_focus_mode,201
www.price-hunt.com,focus,auto_focus_mode,201
www.eglobalcentral.co.uk,focus,auto_focus_mode,201
www.flipkart.com,focus,auto_focus_mode,201
www.alibaba.com,focus control,auto_focus_mode,201
www.price-hunt.com,focus mode,auto_focus_mode,201
www.buzzillions.com,focus modes,auto_focus_mode,201
www.eglobalcentral.co.uk,focus type,auto_focus_mode,201
cammarkt.com,focus type,auto_focus_mode,201
www.alibaba.com,focusing system,auto_focus_mode,201
www.price-hunt.com,auto focus,auto_focus_mode,202
www.pricedekho.com,auto focus,auto_focus_mode,202
www.mypriceindia.com,auto focus,auto_focus_mode,202
www.flipkart.com,auto focus,auto_focus_mode,202
www.shopmania.in,autofocus,auto_focus_mode,202
www.cambuy.com.au,autofocus,auto_focus_mode,202
www.cambuy.com.au,autofocus af,auto_focus_mode,202
www.camerafarm.com.au,autofocus system,auto_focus_mode,202
www.price-hunt.com,focus,auto_focus_mode,202
www.price-hunt.com,focus mode,auto_focus_mode,202
www.buzzillions.com,focus modes,auto_focus_mode,202
www.price-hunt.com,auto focus,auto_focus_mode,203
www.pricedekho.com,auto focus,auto_focus_mode,203
www.mypriceindia.com,auto focus,auto_focus_mode,203
